startingdate;;;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01
variety;;;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01
wscode;;;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw
wsname;;;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos
wstype;;;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique
130;;;;;;;;;;;;;;;;;;;;;;
kcmax;;;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4
kcritstercold1;;;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
kcritstercold2;;;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
kcritsterftsw1;;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
kcritsterftsw2;;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
kcritsterheat1;;;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
kcritsterheat2;;;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
kcritstresscold1;;;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
kcritstresscold2;;;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
kdf;;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
kpar;;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
krespinternode;;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
krespmaintleaf;;;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
krespmaintroot;;;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
krespmaintsheath;;;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
kresppanicle;;;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
ktempmaint;;;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
leaflengthmax;;;456.4375;454.375;677.7919792;458.9063542;622.3512917;624.1855208;647.2378125;563.3515625;727.1666667;460.625;438.5416667;589;560.125;382.5625;486.5833333;355.9375;540.375;496;429.1875;684.6875
lifesavingdrainage;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
mulch;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
panstructmassmax;;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
parcritsla;;;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
percolationmax;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
pevap;;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
pfactor;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phyllo;80;110;;;;;;;;;;;;;;;;;;;;
plantsperhill;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
plotdrainagedaf;;;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
poidssecgrain;;;0.022867315;0.028473177;0.022130684;0.027558738;0.022495334;0.022736149;0.022400205;0.023994889;0.017304607;0.030800543;0.027790974;0.020055178;0.020531131;0.03104068;0.027282069;0.034240562;0.026023595;0.030409946;0.029561672;0.023459607
pourcruiss;;;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
ppcrit;;;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
ppexp;;;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17
ppsens;;;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
prioritypan;;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
profracini;;;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
ranklongestleaf;;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
relmobiliinternodemax;;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
relphyllophasestemelong;;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
rollingbase;;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
rollingsens;;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
rootcstr;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rootfrontmax;;;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
rootlignin;;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
rootpartitmax;;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
